Nota1	Nota2	Nota3	Promedio	Resultado
56	48	56	48	50
55	48	65	112	robado
52	53	52	53	40
52	51	46	51	333
82	101	112	114	obado
52	53	52	53	15
51	53	82	101	probado
90
52	53	51	48.00	78
55	48	50	51.00	50
52	48	49	53.00	70
53	48	49	48.00	0
52	48	56	48.00	50
50	53	55	53.00	90
50	50	55	48.00	43.3333
51	53	55	48.00	46.6667
57	48	52	54.00	.6667
56	54	46	54.00	667
52	54	46	54.00	667
50	56	46	51.00	333
55	55	55	51.00	.3333
51	54	46	51.00	333
65	112	114	111.00	bado
82	101	112	114.00	obado
82	101	112	114.00	obado
65	112	114	111.00	bado
82	101	112	114.00	obado
65	112	114	111.00	bado
82	101	112	114.00	obado
65	112	114	111.00	bado
82	101	112	114.00	obado
82	101	112	114.00	obado
65	112	114	111.00	bado
65	112	114	111.00	bado
82	101	112	114.00	obado
Nota1	Nota2	Nota3	Promedio	Resultado
56	48	56	48	50
55	48	65	112	robado
52	53	52	53	40
52	51	46	51	333
82	101	112	114	obado
52	53	52	53	15
51	53	82	101	probado
54	48	56	48	70
55	48	65	112	robado
Nota1	Nota2	Nota3	Promedio	Resultado
56	48	52	53.00	45
54	48	52	53.00	80
53	48	57	48.00	45
51	48	55	56.00	60
54	52	53	48.00	80
52	53	52	53.00	80
52	53	57	48.00	50
57	48	52	53.00	30
55	56	55	48.00	23
53	48	53	48.00	40
49	53	55	48.00	50
49	48	48	52.00	0
56	48	53	48.00	25
55	53	57	48.00	22
50	48	55	48.00	43.3333
51	53	55	48.00	46.6667
57	48	52	54.00	.6667
56	54	46	54.00	667
52	54	46	54.00	667
50	56	46	51.00	333
55	55	55	51.00	.3333
51	54	46	51.00	333
52	48	65	112.00	robado
82	101	112	114.00	obado
82	101	112	114.00	obado
65	112	114	111.00	bado
82	101	112	114.00	obado
65	112	114	111.00	bado
82	101	112	114.00	obado
65	112	114	111.00	bado
82	101	112	114.00	obado
82	101	112	114.00	obado
65	112	114	111.00	bado
65	112	114	111.00	bado
82	101	112	114.00	obado
82	101	112	114.00	obado
Nota1: 45, Nota2: 45, Nota3: 45, Promedio: 45.00, Mensaje: Reprobado
